NAME,B01001_001E,B19013_001E,B17001_002E,B23025_005E,B23025_003E,state,county,state_fips,county_fips,fips,poverty_rate,unemployment_rate
"Autauga County, Alabama",58761,68315,6630,752,27163,01,001,01,001,01001,11.282993822433246,2.768471818282222
"Baldwin County, Alabama",233420,71039,23445,3825,111079,01,003,01,003,01003,10.044126467312141,3.4434951701041596
"Barbour County, Alabama",24877,39712,5280,516,8968,01,005,01,005,01005,21.224424166901155,5.753791257805531
"Bibb County, Alabama",22251,50669,4297,786,9028,01,007,01,007,01007,19.311491618354232,8.706247230837395
"Blount County, Alabama",59077,57440,8277,1578,26434,01,009,01,009,01009,14.010528632124178,5.969584625860634
"Bullock County, Alabama",10328,36136,2687,144,3888,01,011,01,011,01011,26.016653756777693,3.7037037037037033
"Butler County, Alabama",18981,44429,3937,548,8043,01,013,01,013,01013,20.741794426004954,6.813378092751461
"Calhoun County, Alabama",116162,54339,20267,3692,53147,01,015,01,015,01015,17.447185826690312,6.946770278661073
"Chambers County, Alabama",34612,48805,6080,559,15631,01,017,01,017,01017,17.56616202473131,3.5762267289360885
"Cherokee County, Alabama",25069,46621,3516,425,10713,01,019,01,019,01019,14.02529019905062,3.9671427237935224
"Chilton County, Alabama",45140,62471,6422,1056,19921,01,021,01,021,01021,14.226849800620291,5.30093870789619
"Choctaw County, Alabama",12669,43299,2388,249,4781,01,023,01,023,01023,18.84915936538006,5.208115457017361
"Clarke County, Alabama",23058,47549,5073,1116,8957,01,025,01,025,01025,22.00104085349987,12.459528860109412
"Clay County, Alabama",14209,48074,2440,315,5480,01,027,01,027,01027,17.172214793440777,5.748175182481752
"Cleburne County, Alabama",15144,51553,1931,152,5844,01,029,01,029,01029,12.750924458531433,2.6009582477754964
"Coffee County, Alabama",53559,62199,8592,1095,22899,01,031,01,031,01031,16.04212177225116,4.781868203851697
"Colbert County, Alabama",57270,56149,8998,903,26492,01,033,01,033,01033,15.71154181945172,3.4085761739393026
"Conecuh County, Alabama",11576,39888,2122,171,3928,01,035,01,035,01035,18.33102971665515,4.35336048879837
"Coosa County, Alabama",10329,52279,1102,178,4046,01,037,01,037,01037,10.668990221705876,4.39940682155215
"Covington County, Alabama",37542,48772,6921,877,15967,01,039,01,039,01039,18.43535240530606,5.492578443038767
"Crenshaw County, Alabama",13205,48557,1916,332,5464,01,041,01,041,01041,14.5096554335479,6.076134699853587
"Cullman County, Alabama",88284,58119,11364,1789,41229,01,043,01,043,01043,12.872094603778713,4.3391787334158
"Dale County, Alabama",49455,52813,8469,1527,19642,01,045,01,045,01045,17.124658780709737,7.7741574177782296
"Dallas County, Alabama",38326,37180,10230,1445,15804,01,047,01,047,01047,26.692062829410844,9.143254872184258
"DeKalb County, Alabama",71680,47920,14251,1258,32085,01,049,01,049,01049,19.881417410714285,3.920835281284089
"Elmore County, Alabama",87694,73258,7986,1700,40950,01,051,01,051,01051,9.106666362578968,4.151404151404151
"Escambia County, Alabama",36755,41153,7449,1313,14277,01,053,01,053,01053,20.26663039042307,9.196609932058555
"Etowah County, Alabama",103348,52177,16146,2847,47355,01,055,01,055,01055,15.622943840229128,6.01203674374406
"Fayette County, Alabama",16297,45650,3543,672,6968,01,057,01,057,01057,21.740197582377125,9.644087256027554
"Franklin County, Alabama",32011,47359,5246,536,14005,01,059,01,059,01059,16.38811658492393,3.827204569796501
"Geneva County, Alabama",26647,47608,5480,437,11327,01,061,01,061,01061,20.56516681052276,3.8580383155292663
"Greene County, Alabama",7706,32796,2504,111,2466,01,063,01,063,01063,32.4941603944978,4.5012165450121655
"Hale County, Alabama",14742,35851,3613,450,5883,01,065,01,065,01065,24.508207841541175,7.649158592554819
"Henry County, Alabama",17282,58395,2608,412,7733,01,067,01,067,01067,15.090845966901977,5.327815854131644
"Houston County, Alabama",107040,55064,18878,2403,48111,01,069,01,069,01069,17.6363976083707,4.994699756812372
"Jackson County, Alabama",52618,46748,9680,1312,21717,01,071,01,071,01071,18.396746360561025,6.041350094396095
"Jefferson County, Alabama",672265,63595,103894,17733,328926,01,073,01,073,01073,15.454322328248532,5.39118221119644
"Lamar County, Alabama",13885,49565,2107,284,5665,01,075,01,075,01075,15.174648901692475,5.0132391879964695
"Lauderdale County, Alabama",94329,56081,12188,1632,45106,01,077,01,077,01077,12.920734874746898,3.6181439276371212
"Lawrence County, Alabama",33116,54786,5182,423,14259,01,079,01,079,01079,15.648025123807225,2.966547443719756
"Lee County, Alabama",175126,59288,31003,3196,84605,01,081,01,081,01081,17.703253657366698,3.7775545180544885
"Limestone County, Alabama",104199,80146,11287,2078,50168,01,083,01,083,01083,10.832157698250464,4.142082602455749
"Lowndes County, Alabama",10153,33125,2552,302,4029,01,085,01,085,01085,25.13542795232936,7.495656490444278
"Macon County, Alabama",19198,41206,4127,1010,8082,01,087,01,087,01087,21.49703094072299,12.496906706260827
"Madison County, Alabama",389781,78058,40440,8515,201437,01,089,01,089,01089,10.375056762643638,4.2271280847113495
"Marengo County, Alabama",19180,42975,4063,220,7807,01,091,01,091,01091,21.18352450469239,2.817983860637889
"Marion County, Alabama",29203,49743,4707,800,12363,01,093,01,093,01093,16.118207033523955,6.47092129741972
"Marshall County, Alabama",97923,58272,15992,1641,43030,01,095,01,095,01095,16.33119900329851,3.8136184057634206
"Mobile County, Alabama",413878,55352,71353,11043,187332,01,097,01,097,01097,17.24010457187867,5.894881814105438
"Monroe County, Alabama",19816,39965,4472,862,7082,01,099,01,099,01099,22.567622123536534,12.171702908782828
"Montgomery County, Alabama",228132,56707,42877,7127,105546,01,101,01,101,01101,18.794820542492943,6.75250601633411
"Morgan County, Alabama",123102,61588,16579,2407,57499,01,103,01,103,01103,13.467693457458044,4.186159759300162
"Perry County, Alabama",8479,32332,2478,427,2728,01,105,01,105,01105,29.22514447458427,15.6524926686217
"Pickens County, Alabama",18925,45339,3864,388,7333,01,107,01,107,01107,20.417437252311757,5.291149597708987
"Pike County, Alabama",32997,42616,7242,717,14500,01,109,01,109,01109,21.947449768160745,4.944827586206896
"Randolph County, Alabama",22179,49879,4277,289,8902,01,111,01,111,01111,19.284007394382073,3.2464614693327345
"Russell County, Alabama",58849,47420,12816,1574,24169,01,113,01,113,01113,21.77777022549236,6.512474657619265
"St. Clair County, Alabama",91719,73218,9786,1873,43687,01,115,01,115,01115,10.669545023386648,4.28731659303683
"Shelby County, Alabama",223916,90618,15080,3662,117204,01,117,01,117,01117,6.734668357777024,3.124466741749428
"Sumter County, Alabama",12196,31726,3285,382,4681,01,119,01,119,01119,26.935060675631355,8.160649433881648
"Talladega County, Alabama",81105,52457,14436,2934,35027,01,121,01,121,01121,17.799149250970963,8.376395352156909
